title,url,price,,add
武侯玉林 适合合租的套三 有空调 卧室大 楼层低,http://cd.58.com/zufang/32866772972223x.shtml,2400,"http://pic8.58cdn.com.cn/anjuke_58/9aad8d8160a48e866ed276da4930b772?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/de91924b3670c748fb8582d0357d0977?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/58836291db06b8daa1a689616a8713f6?w=696&amp;h=522&amp;crop=1,http://pic6.58cdn.com.cn/anjuke_58/2d0a5c1ee17b1d075e06da4d47b00429?w=696&amp;h=522&amp;crop=1,http://pic6.58cdn.com.cn/anjuke_58/c5612870a7a7dfb738532d407cbd7691?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/b4ed7275a4ef3756920b78851042433b?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/03fe3392dc2e3a3dc34f7c6bb476dd2a?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/2137feb940ae626cdfda6483b6538662?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/4b0068cc655ebb75c124fa61146f53f3?w=696&amp;h=522&amp;crop=1",玉林南街3号
这个房子干干净净的 晒得到太阳 又通风 小区也安静,http://cd.58.com/zufang/32866772972223x.shtml,2500,"http://pic5.58cdn.com.cn/anjuke_58/d45a23df065521cfb62eb8be1d461c7c?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/3e3a8c8956ab69511aab94cc12d47ad6?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/8265a41f5a32392a0814247aff0eb0a1?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/413a3c989b72d9f426b74970ff815b17?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/6f29706fd0caab13b8abda3003c1fb9b?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/bb9eddaaafeed9e604c0db936b8fe474?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/88d8703ee3db7b8abf67a458ed8736b6?w=696&amp;h=522&amp;crop=1",玉洁东街4号
武侯 玉林南街12号 倪家桥地铁附近 中层套三 价格便宜,http://cd.58.com/zufang/32866772972223x.shtml,2500,"http://pic2.58cdn.com.cn/anjuke_58/054a19de92b6eee8d56ef017b7577cfb?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/06a34597eb45609504b1334d076dcc86?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/ee7697f6447f2aaf050242bdba29b894?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/f64783df905d0e62a2446518d7ea5b93?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/49c383999c87eb4186dc94801d9aca4b?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/e9999c6a241986b3198e9bf377941c26?w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/anjuke_58/176de46c007a508c2d86094c3a762440?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/b35d741f85458716cc09c3f51484ee81?w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/anjuke_58/e512bbc10571276c16f56645eb64b56b?w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/anjuke_58/d828a5773b822f0188cfee052633c4cf?w=696&amp;h=522&amp;crop=1",玉林南街12号
玉林南路10号院 3室1厅1卫,http://cd.58.com/zufang/32866772972223x.shtml,2200,"http://pic1.58cdn.com.cn/dwater/fang/big/n_v2d18408b3504446d5a15ac70aef8e33dc.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=f962d7e6dbaba30fcd2c72c3e67c9cf9&amp;w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/dwater/fang/big/n_v223480e6d82e5481899b2e805b5e5e91f.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=127afd80f417396c6ee757f0cd97d1b8&amp;w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/dwater/fang/big/n_v2bb84ea85213c42859ba4c756e73ff881.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=208c3c131298fbd2de7dae75bccade42&amp;w=696&amp;h=522&amp;crop=1,http://pic8.58cdn.com.cn/dwater/fang/big/n_v2fa190936335f4e2ab4bc4d5b4b371f8a.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=39df6ded9101749ef655e7d6cf457761&amp;w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/dwater/fang/big/n_v2c26469ccec724f9c90a2997133bc8752.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=4c1dadbce68302df0b33bd5e564deea1&amp;w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/dwater/fang/big/n_v2eb4b1fe5410f40958d55f5eb94866027.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=9daa31c3aa0fe3b718a6a35bebd3ecb1&amp;w=696&amp;h=522&amp;crop=1,http://pic8.58cdn.com.cn/dwater/fang/big/n_v2aa4e37e8fa554360ba2a28b296218fb3.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=2c057438dd2917b590c35ba05afcf92b&amp;w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/dwater/fang/big/n_v2bc629f1a2e354b22954353a1300e8aa9.jpg?wt=%40%E9%99%88%E5%A7%90%E5%A5%B3%E5%A3%AB&amp;ws=ce375652aec512d4e3cbab3b2bfaf3d8&amp;w=696&amp;h=522&amp;crop=1",玉林南路10号
月付紧靠火车南站站口肿瘤医院旁长寿苑精装套三无隔断家电齐全,http://cd.58.com/zufang/32866772972223x.shtml,2400,"http://pic2.58cdn.com.cn/anjuke_58/b1a2ea67f299c41c5610c7f8324228d4?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/6320b2b6283519cb645fc081111b411f?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/c8a06062b1608db5b196f0fec1adaf2e?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/0f8aa92fa66c22b71ca5fc23bfb7136a?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/4d7e27846cc07ca67556de0305732b24?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/72567351e10905ab46917059c5c02825?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/b7ef4948b130c29c368e1d3a3d86ba02?w=696&amp;h=522&amp;crop=1",火车南站东路17号
樱花假日 套三出租价低 家电齐全 随时看房 ！！！,http://cd.58.com/zufang/32866772972223x.shtml,2500,"http://pic2.58cdn.com.cn/anjuke_58/f6f14d555f2ccfbeeba69abc30514b7e?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/bc789d50325901a8763af0d2677944fe?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/cfc1e6be98e1611a429cc0c7e4fbca27?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/c680003c22fa1756bf6e1296f8dfbab7?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/6eb1efa980a2650105adfec0e3fcfb8b?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/34506647ad30d9bfef3beaaa348caf45?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/64f097d6b44b02549cd07b22664d7435?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/caba935d40ba4bd5435025a4b5f6c894?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/b4319798093704929eddf76f231b1429?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/afab384037e0d1798f6e9a5c653010bf?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/8082fe26bf2f53d700ff8bfc88dc3c5f?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/7d932d53b79ed957f55dec12e18c33ba?w=696&amp;h=522&amp;crop=1,http://pic6.58cdn.com.cn/anjuke_58/a9d4fefb0ba33c33ea95dc8e82049044?w=696&amp;h=522&amp;crop=1,http://pic6.58cdn.com.cn/anjuke_58/05eabd470e745bbd2bcc139111c3ec61?w=696&amp;h=522&amp;crop=1,http://pic6.58cdn.com.cn/anjuke_58/50518c9008cdd51788dcf062f1742aae?w=696&amp;h=522&amp;crop=1",科华北路145号
桐梓林锦绣花园芳草地南方花园新希望大厦丰德国际凯莱帝景精装修,http://cd.58.com/zufang/32866772972223x.shtml,900,"http://pic2.58cdn.com.cn/anjuke_58/7b86699ba9a1be3214e12512a4ea71f9?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/00958b02d5347304ccf7b13b585eed60?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/1b8a2a49a9a04bc5076eff0b01846307?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/ae084f71858ea0c3b7ccd10edaa0de20?w=696&amp;h=522&amp;crop=1",桐梓林中路1号
高攀教师苑 大套二 可租员工宿舍,http://cd.58.com/zufang/32866772972223x.shtml,2400,"http://pic6.58cdn.com.cn/anjuke_58/3773bcd2f34ca62213dc6c47e06bfbb1?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/5905235c40d9b14fc0addcad6bd5cd5b?w=696&amp;h=522&amp;crop=1,http://pic8.58cdn.com.cn/anjuke_58/4169b924a780614f0e26cd621013f39b?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/88fed91237a0415d33ef8955018181c3?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/163f6decdf6da0f29f72cb657b99f46c?w=696&amp;h=522&amp;crop=1",高攀路11号
倪家桥地铁站 保利中心旁 棕南舒适 套三便宜出租 精装修,http://cd.58.com/zufang/32866772972223x.shtml,2500,"http://pic2.58cdn.com.cn/anjuke_58/25e0541f722b9a96b8809515d1b1fc25?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/34c52c32ce93e9642539dcfac30fe277?w=696&amp;h=522&amp;crop=1,http://pic3.58cdn.com.cn/anjuke_58/9f84bdf7f3c3efa9b8e84ec4b73aa005?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/567758d9f3f04ce9d12bba1c94c6d3ef?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/1793fadfa5747461d4ee0fe237429629?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/537bcc57fba57f5151367043fe2bd335?w=696&amp;h=522&amp;crop=1,http://pic5.58cdn.com.cn/anjuke_58/d7ab0e1d1de285cbdb3ae18c31730e50?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/0374d382aba1c8c622d4e7d74dd779f4?w=696&amp;h=522&amp;crop=1,http://pic7.58cdn.com.cn/anjuke_58/3728e2345143432957cac6c9faf4e064?w=696&amp;h=522&amp;crop=1",棕南西街7号
高攀路17号院 精装修 有大平台,http://cd.58.com/zufang/32866772972223x.shtml,2400,"http://pic8.58cdn.com.cn/anjuke_58/72645edb4a543b5d3ac0605bbb02facf?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/61df1ea56193138fe87f3f379249c396?w=696&amp;h=522&amp;crop=1,http://pic1.58cdn.com.cn/anjuke_58/03d6be9d2383e0620a11f240adbf82f2?w=696&amp;h=522&amp;crop=1,http://pic2.58cdn.com.cn/anjuke_58/c1734924db7513f8166ead8ec27a1c1c?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/80fa29d0d0d8c2cc261419a0a7ddba89?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/a5f6f215df1c6918dd916815a63ad8f6?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/1fb67cfe325d1c1efd7b8a21a936c32a?w=696&amp;h=522&amp;crop=1,http://pic4.58cdn.com.cn/anjuke_58/66daa22d7ff057746b0428bf35875582?w=696&amp;h=522&amp;crop=1",高攀路17号
